,appid,tags,genre
49,301520,"['Free to Play', 'Robots', 'Building', 'Multiplayer', 'Action', 'Shooter', 'PvP', 'Massively Multiplayer', 'Sandbox', 'Crafting', 'Third-Person Shooter', 'Sci-fi', 'Strategy', 'Simulation', 'Early Access', 'Indie', 'Open World', 'Funny', 'Adventure', 'RPG']","Action, Free to Play, Indie, Massively Multiplayer, RPG, Simulation"
50,240,"['Shooter', 'Action', 'FPS', 'Multiplayer', 'Team-Based', 'First-Person', 'Tactical', 'Competitive', 'PvP', 'e-sports', 'Military', 'War', 'Strategy', 'Moddable', 'Singleplayer', 'Difficult', 'Atmospheric', 'Survival', 'Simulation', 'Sandbox']",Action
51,477160,"['Co-op', 'Funny', 'Puzzle', 'Adventure', 'Physics', 'Sandbox', 'Action', 'Puzzle-Platformer', 'Open World', 'Multiplayer', 'Local Co-Op', 'Indie', 'Comedy', 'Parkour', 'Local Multiplayer', 'Casual', 'Singleplayer', '3D Platformer', 'Split Screen', 'Simulation']","Adventure, Casual, Indie, Simulation"
52,1938090,"['FPS', 'Action', 'Multiplayer', 'Shooter', 'Singleplayer', 'Military', 'First-Person', 'War', 'Modern', 'Tactical', 'Violent', 'Realistic', 'Story Rich', 'Co-op', 'Atmospheric', 'Mature', 'Online Co-Op', 'Gore', 'Third-Person Shooter', 'Third Person']",Action
53,582010,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Difficult', 'Singleplayer', 'Action RPG', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG']",Action
54,433850,"['Survival', 'Massively Multiplayer', 'Multiplayer', 'Open World', 'Battle Royale', 'PvP', 'FPS', 'Action', 'Shooter', 'Free to Play', 'Third-Person Shooter', 'Zombies', 'Co-op', 'Early Access', 'Online Co-Op', 'Adventure', 'First-Person', 'Violent', 'Gore', 'Walking Simulator']","Action, Adventure, Free to Play, Massively Multiplayer"
55,648800,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base-Building', 'Online Co-Op', 'Adventure', 'Sandbox', 'First-Person', 'Early Access', 'Singleplayer', 'Underwater', 'Simulation', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer']","Adventure, Indie, Simulation"
56,1174180,"['Open World', 'Story Rich', 'Adventure', 'Western', 'Action', 'Multiplayer', 'Realistic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Horses', 'Third-Person Shooter', 'Beautiful', 'Mature', 'Great Soundtrack', 'Third Person', 'Sandbox', 'Gore', 'First-Person', 'FPS']","Action, Adventure"
57,413150,"['Farming Sim', 'Life Sim', 'Pixel Graphics', 'RPG', 'Multiplayer', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Great Soundtrack', 'Dating Sim', 'Fishing']","Indie, RPG, Simulation"
58,444200,"['Tanks', 'Free to Play', 'Action', 'Multiplayer', 'World War II', 'War', 'Massively Multiplayer', 'Shooter', 'PvP', 'Military', 'Strategy', 'Online Co-Op', 'Simulation', 'Competitive', 'Arcade', 'FPS', 'Singleplayer', 'Open World', 'First-Person', 'Horror']","Action, Free to Play, Massively Multiplayer"
59,417910,"['Fighting', 'Action', 'Multiplayer', 'Sports', 'Violent', 'Massively Multiplayer', 'Simulation', 'Open World', 'Free to Play', 'PvP', 'Early Access', 'Co-op', 'Indie', 'Funny', 'Character Customization']","Action, Massively Multiplayer, Simulation, Sports"
60,304050,"['Free to Play', 'Open World', 'Multiplayer', 'MMORPG', 'Adventure', 'Massively Multiplayer', 'Building', 'Sandbox', 'RPG', 'Pixel Graphics', 'Action', 'Crafting', 'Third Person', 'Co-op', 'Exploration', 'Dungeon Crawler', 'Voxel', 'Casual', 'Funny', 'FPS']","Action, Adventure, Casual, Free to Play, Massively Multiplayer, RPG"
61,400,"['Puzzle', 'Puzzle-Platformer', 'First-Person', '3D Platformer', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Funny', 'Physics', 'Action', 'Story Rich', 'Classic', 'Platformer', 'Science', 'Atmospheric', 'FPS', 'Short', 'Dark Humor', 'Adventure']",Action
62,261550,"['Medieval', 'Strategy', 'Open World', 'RPG', 'War', 'Multiplayer', 'Sandbox', 'Singleplayer', 'Action', 'Simulation', 'Character Customization', 'Moddable', 'Adventure', 'Horses', 'Realistic', 'Third Person', 'First-Person', 'Historical', 'Great Soundtrack', 'Early Access']","Action, Indie, RPG, Simulation, Strategy"
63,489520,"['Real Time Tactics', 'RTS', 'Multiplayer', 'Co-op', 'Card Battler', 'Strategy RPG', 'Card Game', 'Free to Play', 'Strategy', 'PvP', 'PvE', 'Deckbuilding', 'Tactical', 'Competitive', 'Online Co-Op', 'Singleplayer', 'Turn-Based Tactics', 'Mouse only', 'Tower Defense', 'Stylized']","Action, Adventure, Free to Play, Indie, RPG, Strategy"
64,70,"['FPS', 'Sci-fi', ""1990's"", 'Multiplayer', 'Singleplayer', 'Classic', 'Action', 'Shooter', 'First-Person', 'Aliens', 'Silent Protagonist', 'Story Rich', 'Atmospheric', 'Moddable', 'Adventure', 'Action-Adventure', 'Gore', 'Retro', 'Difficult', 'PvP']",Action
65,251570,"['Survival', 'Zombies', 'Open World', 'Multiplayer', 'Voxel', 'Open World Survival Craft', 'Post-apocalyptic', 'Base-Building', 'Online Co-Op', 'Exploration', 'Building', 'Sandbox', 'Simulation', 'FPS', 'Strategy', 'Character Customization', 'Tower Defense', 'Procedural Generation', 'Action', 'Early Access']","Action, Adventure, Indie, RPG, Simulation, Strategy, Early Access"
66,239140,"['Zombies', 'Survival Horror', 'Horror', 'Online Co-Op', 'Open World', 'Parkour', 'First-Person', 'Survival', 'Open World Survival Craft', 'Action', 'FPS', 'Gore', 'PvE', 'PvP', 'Stealth', 'Post-apocalyptic', 'Story Rich', 'Action RPG', 'Hack and Slash', 'RPG']","Action, RPG"
67,8930,"['Turn-Based Strategy', 'Strategy', 'Turn-Based', 'Multiplayer', 'Historical', '4X', 'Addictive', 'Singleplayer', 'Hex Grid', 'Grand Strategy', 'Replay Value', 'Co-op', 'Economy', 'Tactical', 'Diplomacy', 'Moddable', 'Simulation', 'Classic', 'Great Soundtrack', 'Touch-Friendly']",Strategy
68,367520,"['Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', 'Difficult', '2D', 'Indie', 'Atmospheric', 'Singleplayer', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']","Action, Adventure, Indie"
